s,X,Y,phi,U,V
9.999000,-0.976562,0.046875,0.000000,0.000000,0.000000
9.999000,-0.976562,0.078125,0.000000,0.000000,0.000000
9.999000,-0.976562,0.109375,0.000000,0.000000,0.000000
9.999000,-0.976562,0.140625,0.000000,0.000000,0.000000
9.999000,-0.976562,0.171875,0.000000,0.000000,0.000000
9.999000,-0.976562,0.203125,0.000000,0.000000,0.000000
9.999000,-0.976562,0.234375,0.000000,0.000000,0.000000
9.999000,-0.976562,0.265625,0.000000,0.000000,0.000000
9.999000,-0.976562,0.296875,0.000000,0.000000,0.000000
9.999000,-0.976562,0.328125,0.000000,0.000000,0.000000
9.999000,-0.976562,0.359375,0.000000,0.000000,0.000000
9.999000,-0.976562,0.390625,0.000000,0.000000,0.000000
9.999000,-0.976562,0.421875,0.000000,0.000000,0.000000
9.999000,-0.976562,0.453125,0.000000,0.000000,0.000000
9.999000,-0.976562,0.484375,0.000000,0.000000,0.000000
9.999000,-0.976562,0.515625,0.000000,0.000000,0.000000
9.999000,-0.976562,0.546875,0.000000,0.000000,0.000000
9.999000,-0.976562,0.578125,0.000000,0.000000,0.000000
9.999000,-0.976562,0.609375,0.000000,0.000000,0.000000
9.999000,-0.976562,0.640625,0.000000,0.000000,0.000000
9.999000,-0.976562,0.671875,0.000000,0.000000,0.000000
9.999000,-0.976562,0.703125,0.000000,0.000000,0.000000
9.999000,-0.976562,0.734375,0.000000,0.000000,0.000000
9.999000,-0.976562,0.765625,0.000000,0.000000,0.000000
9.999000,-0.976562,0.796875,0.000000,0.000000,0.000000
9.999000,-0.976562,0.828125,0.000000,0.000000,0.000000
9.999000,-0.976562,0.859375,0.000000,0.000000,0.000000
9.999000,-0.976562,0.890625,0.000000,0.000000,0.000000
9.999000,-0.976562,0.921875,0.000000,0.000000,0.000000
9.999000,-0.976562,0.953125,0.000000,0.000000,0.000000
9.999000,-0.976562,0.984375,0.000000,0.000000,0.000000
9.999000,-0.976562,1.015625,0.000000,0.000000,0.000000
9.999000,-0.976562,1.046875,0.000000,0.000000,0.000000
9.999000,-0.976562,1.078125,0.000000,0.000000,0.000000
9.999000,-0.976562,1.109375,0.000000,0.000000,0.000000
9.999000,-0.976562,1.140625,0.000000,0.000000,0.000000
9.999000,-0.976562,1.171875,0.000000,0.000000,0.000000
9.999000,-0.976562,1.203125,0.000000,0.000000,0.000000
9.999000,-0.976562,1.234375,0.000000,0.000000,0.000000
9.999000,-0.976562,1.265625,0.000000,0.000000,0.000000
9.999000,-0.976562,1.296875,0.000000,0.000000,0.000000
9.999000,-0.976562,1.328125,0.000000,0.000000,0.000000
9.999000,-0.976562,1.359375,0.000000,0.000000,0.000000
9.999000,-0.976562,1.390625,0.000000,0.000000,0.000000
9.999000,-0.976562,1.421875,0.000000,0.000000,0.000000
9.999000,-0.976562,1.453125,0.000000,0.000000,0.000000
9.999000,-0.976562,1.484375,0.000000,0.000000,0.000000
9.999000,-0.976562,1.515625,0.000000,0.000000,0.000000
9.999000,-0.976562,1.546875,0.000000,0.000000,0.000000
9.999000,-0.976562,1.578125,0.000000,0.000000,0.000000
9.999000,-0.976562,1.609375,0.000000,0.000000,0.000000
9.999000,-0.976562,1.640625,0.000000,0.000000,0.000000
9.999000,-0.976562,1.671875,0.000000,0.000000,0.000000
9.999000,-0.976562,1.703125,0.000000,0.000000,0.000000
9.999000,-0.976562,1.734375,0.000000,0.000000,0.000000
9.999000,-0.976562,1.765625,0.000000,0.000000,0.000000
9.999000,-0.976562,1.796875,0.000000,0.000000,0.000000
9.999000,-0.976562,1.828125,0.000000,0.000000,0.000000
9.999000,-0.976562,1.859375,0.000000,0.000000,0.000000
9.999000,-0.976562,1.890625,0.000000,0.000000,0.000000
9.999000,-0.976562,1.921875,0.000000,0.000000,0.000000
9.999000,-0.976562,1.953125,0.000000,0.000000,0.000000
9.999000,-0.960938,0.046875,0.000000,0.000000,0.000000
9.999000,-0.960938,0.078125,0.000000,0.000000,0.000000
9.999000,-0.960938,0.109375,0.000000,0.000000,0.000000
9.999000,-0.960938,0.140625,0.000000,0.000000,0.000000
9.999000,-0.960938,0.171875,0.000000,0.000000,0.000000
9.999000,-0.960938,0.203125,0.000000,0.000000,0.000000
9.999000,-0.960938,0.234375,0.000000,0.000000,0.000000
9.999000,-0.960938,0.265625,0.000000,0.000000,0.000000
9.999000,-0.960938,0.296875,0.000000,0.000000,0.000000
9.999000,-0.960938,0.328125,0.000000,0.000000,0.000000
9.999000,-0.960938,0.359375,0.000000,0.000000,0.000000
9.999000,-0.960938,0.390625,0.000000,0.000000,0.000000
9.999000,-0.960938,0.421875,0.000000,0.000000,0.000000
9.999000,-0.960938,0.453125,0.000000,0.000000,0.000000
9.999000,-0.960938,0.484375,0.000000,0.000000,0.000000
9.999000,-0.960938,0.515625,0.000000,0.000000,0.000000
9.999000,-0.960938,0.546875,0.000000,0.000000,0.000000
9.999000,-0.960938,0.578125,0.000000,0.000000,0.000000
